PlayerName;Pos;Team;TacklesTot;TacklesAst;TacklesSck;TacklesTfl;TurnoverInt;TurnoverFrcFum;TurnoverFumRec;ScoreIntTd;ScoreFumTd;ScoreBlkTd;ScoreSaf;ScoreDef2ptRet;Blk;PDef;QBHit;ReturnIntYds;ReturnFumYds;TotalPoints;Rank
Jordan Poyer;DB;BUF;71;36;1;4;2;3;3;-;-;-;-;-;-;3;1;-;-;116.50;1
Tracy Walker;DB;DET;82;21;-;6;1;1;-;-;-;-;-;-;-;8;-;-;-;113.50;2
Marlon Humphrey;DB;BAL;53;12;-;4;3;2;3;-;2;-;-;-;1;14;1;14;91;113.00;3
Harrison Smith;DB;MIN;65;20;1;4;3;3;2;-;-;-;-;-;-;11;2;13;-;111.43;4
Antoine Bethea;DB;NYG;81;29;-;2;1;-;2;-;-;-;-;-;-;6;-;7;-;110.73;5
Taylor Rapp;DB;LA;62;38;-;3;2;-;1;1;-;-;-;-;-;8;1;54;-;107.80;6
Minkah Fitzpatrick;DB;PIT;44;25;-;1;5;2;3;1;1;-;-;-;-;9;1;130;79;106.47;7
Jessie Bates;DB;CIN;71;29;-;-;3;1;1;-;-;-;-;-;-;9;-;33;-;105.60;8
Justin Simmons;DB;DEN;65;28;-;2;4;-;-;-;-;-;-;-;-;15;-;30;-;104.00;9
Erik Harris;DB;LV;64;10;-;1;3;-;-;2;-;-;-;-;-;8;-;145;-;101.73;10
Tyrann Mathieu;DB;KC;63;12;2;3;4;-;-;-;-;-;-;-;-;12;2;70;-;100.83;11
Tre Flowers;DB;SEA;65;17;2;2;3;1;1;-;-;-;-;-;-;8;2;-;-;99.50;12
Marcus Peters;DB;BAL;40;13;-;1;5;-;1;3;-;-;-;-;-;14;-;210;-;99.00;13
Stephon Gilmore;DB;NE;44;9;-;-;6;-;1;2;-;-;-;-;-;20;-;126;-;98.70;14
Joe Haden;DB;PIT;59;6;-;3;5;1;1;-;-;-;-;-;-;17;-;20;3;98.27;15
Kevin Byard;DB;TEN;60;24;-;2;5;-;-;-;-;-;-;-;-;9;-;79;-;98.23;16
Kyle Fuller;DB;CHI;72;10;-;1;3;-;-;-;-;-;-;-;-;12;-;37;-;97.73;17
Kevin King;DB;GB;56;10;1;3;5;1;-;-;-;-;-;-;-;15;1;54;-;96.80;18
Tre'Davious White;DB;BUF;48;10;1;4;6;2;-;-;-;-;-;-;-;17;1;57;-;96.40;19
Jabrill Peppers;DB;NYG;51;25;-;5;1;3;-;1;-;-;-;-;-;5;2;32;-;92.07;20
Levi Wallace;DB;BUF;66;10;-;4;2;-;-;-;-;-;-;-;-;9;-;2;-;90.07;21
