PlayerName;Pos;Team;TacklesTot;TacklesAst;TacklesSck;TacklesTfl;TurnoverInt;TurnoverFrcFum;TurnoverFumRec;ScoreIntTd;ScoreFumTd;ScoreBlkTd;ScoreSaf;ScoreDef2ptRet;Blk;PDef;QBHit;ReturnIntYds;ReturnFumYds;TotalPoints;Rank
Chandler Jones;DL;ARI;42;11;19;11;-;8;3;-;-;-;-;-;-;5;26;-;-;142.00;1
Danielle Hunter;DL;MIN;52;18;14.5;15;-;3;1;-;-;-;-;-;-;-;22;-;4;131.63;2
Cameron Heyward;DL;PIT;51;32;9;11;-;1;1;-;-;-;-;-;1;6;22;-;-;124.50;3
Joey Bosa;DL;LAC;47;20;11.5;18;-;1;-;-;-;-;-;-;-;-;30;-;-;124.00;4
Dante Fowler;DL;ATL;40;18;11.5;16;-;2;1;-;1;-;-;-;-;6;16;-;26;122.87;5
Cameron Jordan;DL;NO;38;14;15.5;16;-;-;1;-;-;-;-;-;-;3;24;-;-;117.00;6
Aaron Donald;DL;LA;29;19;12.5;20;-;2;1;-;-;-;1;-;-;2;24;-;-;115.50;7
Carlos Dunlap;DL;CIN;39;24;9;13;-;2;-;-;-;-;-;-;-;8;20;-;-;110.50;8
Yannick Ngakoue;DL;JAX;36;5;8;13;1;4;1;1;-;-;-;-;-;6;15;23;-2;106.20;9
Nick Bosa;DL;SF;32;15;9;16;1;1;2;-;-;-;-;-;-;2;25;46;6;105.73;10
Maxx Crosby;DL;LV;36;11;10;16;-;4;-;-;-;-;-;-;-;4;14;-;-;104.50;11
Sam Hubbard;DL;CIN;46;30;8.5;10;-;1;-;-;-;-;-;-;-;3;13;-;-;104.50;12
DeForest Buckner;DL;IND;34;28;7.5;9;-;2;4;-;1;-;-;-;-;2;14;-;12;103.90;13
Calais Campbell;DL;BAL;36;20;6.5;9;-;2;1;-;1;-;-;-;1;1;24;-;8;99.77;14
Grady Jarrett;DL;ATL;38;31;7.5;12;-;2;-;-;-;-;-;-;-;-;16;-;-;98.50;15
Brandon Graham;DL;PHI;35;15;8.5;15;-;1;2;-;-;-;-;-;-;-;17;-;4;96.63;16
Arik Armstead;DL;SF;32;22;10;11;-;2;1;-;-;-;-;-;-;2;18;-;-;96.50;17
Matthew Ioannidis;DL;WAS;42;22;8.5;11;-;-;-;-;-;-;-;-;-;1;16;-;-;95.50;18
Robert Quinn;DL;CHI;26;8;11.5;13;-;2;-;-;-;-;-;-;-;3;22;-;-;90.50;19
Jonathan Allen;DL;WAS;46;22;6;7;-;1;1;-;-;-;-;-;-;1;10;-;-;89.50;20
Melvin Ingram;DL;LAC;39;9;7;11;1;-;1;-;-;-;-;-;-;5;12;9;2;89.37;21
Frank Clark;DL;KC;27;10;8;12;1;3;1;-;-;-;-;-;-;4;14;5;-;87.17;22
Trey Flowers;DL;DET;33;18;7;8;-;2;-;-;-;-;-;-;-;-;21;-;-;82.50;23
Demarcus Lawrence;DL;DAL;30;15;5;10;-;2;2;-;-;-;-;-;-;2;16;-;-;80.50;24
Ndamukong Suh;DL;TB;22;19;2.5;7;-;-;4;-;2;-;-;-;-;4;14;-;43;79.43;25
Kenny Clark;DL;GB;31;31;6;9;-;1;-;-;-;-;-;-;-;1;7;-;-;78.50;26
