PlayerName;Pos;Team;TacklesTot;TacklesAst;TacklesSck;TacklesTfl;TurnoverInt;TurnoverFrcFum;TurnoverFumRec;ScoreIntTd;ScoreFumTd;ScoreBlkTd;ScoreSaf;ScoreDef2ptRet;Blk;PDef;QBHit;ReturnIntYds;ReturnFumYds;TotalPoints;Rank
Jordan Hicks;LB;ARI;93;57;1.5;11;3;2;1;-;-;-;-;-;-;6;7;64;-;164.63;1
Shaquil Barrett;LB;TB;45;13;19.5;19;1;6;-;-;-;-;-;-;-;2;37;4;-;153.63;2
Bobby Wagner;LB;SEA;86;73;3;7;1;1;1;-;-;-;-;-;-;6;3;6;5;152.87;3
Joe Schobert;LB;JAX;89;44;2;7;4;2;1;-;-;-;-;-;-;9;4;24;21;152.00;4
Cory Littleton;LB;LV;78;56;3.5;6;2;2;4;-;-;-;-;-;-;9;5;32;16;151.10;5
Darius Leonard;LB;IND;71;50;5;7;5;2;-;1;-;-;-;-;-;7;6;92;-;149.57;6
T.J. Watt;LB;PIT;35;20;14.5;14;2;8;4;-;-;-;-;-;-;8;36;7;-;149.23;7
Blake Martinez;LB;NYG;97;58;3;5;1;1;-;-;-;-;-;-;-;2;3;22;-;147.73;8
Fred Warner;LB;SF;89;29;3;7;1;3;-;1;-;-;-;-;-;9;5;46;-;147.03;9
Jaylon Smith;LB;DAL;83;59;2.5;6;1;2;1;-;-;-;-;-;-;9;3;-;6;145.20;10
Zach Cunningham;LB;HOU;99;43;2;7;-;-;2;-;-;-;-;-;-;2;3;-;24;143.30;11
Demario Davis;LB;NO;87;24;4;11;1;-;-;-;-;-;-;-;-;12;9;1;-;142.03;12
Lavonte David;LB;TB;82;41;1;10;1;3;1;-;-;-;-;-;-;7;7;26;-;140.87;13
Jamie Collins;LB;DET;58;23;7;10;3;3;1;1;-;-;-;-;-;7;10;85;-;133.33;14
De'Vondre Campbell;LB;ARI;75;54;2;6;2;3;1;-;-;-;-;-;-;5;2;-5;-;132.83;15
Devin Bush;LB;PIT;72;37;1;9;2;1;4;-;1;-;-;-;-;4;2;6;20;131.87;16
Bud Dupree;LB;PIT;49;19;11.5;16;-;4;2;-;-;-;-;-;-;3;16;-;-;128.50;17
Anthony Walker;LB;IND;84;40;2.5;6;1;1;-;-;-;-;-;-;-;2;3;-;-;125.50;18
K.J. Wright;LB;SEA;67;65;-;5;3;-;-;-;-;-;-;-;-;11;1;10;-;124.83;19
Tremaine Edmunds;LB;BUF;66;49;1.5;10;1;-;-;-;-;-;1;-;-;9;4;-;-;123.50;20
Devin White;LB;TB;58;33;2.5;4;1;3;4;-;2;-;-;-;-;3;5;5;121;123.20;21
Rashaan Evans;LB;TEN;69;42;2.5;9;-;-;1;-;1;-;-;-;-;-;8;-;53;122.27;22
Jerome Baker;LB;MIA;76;50;1.5;3;1;2;-;-;-;-;-;-;-;4;5;34;-;122.13;23
Za'Darius Smith;LB;GB;41;14;13.5;17;-;1;-;-;-;-;-;-;-;-;37;-;-;121.00;24
Shaq Thompson;LB;CAR;75;34;3;11;-;-;-;-;-;-;-;-;-;3;4;-;-;119.50;25
Deion Jones;LB;ATL;68;42;-;8;1;-;1;1;-;-;-;-;-;5;4;27;5;119.07;26
Eric Kendricks;LB;MIN;70;40;0.5;4;-;2;2;-;-;-;-;-;-;12;2;-;25;118.83;27
