PlayerName;Pos;Team;TotalPoints
Logan Ryan;DB ; TEN;231.78
Budda Baker;DB ; ARI;222.15
Eric Reid;DB ; CAR;211.40
Landon Collins;DB ; WAS;181.70
Tracy Walker;DB ; DET;175.80
Jamal Adams;DB ; NYJ;173.82
Justin Simmons;DB ; DEN;173.40
Harrison Smith;DB ; MIN;172.93
Jordan Poyer;DB ; BUF;171.30
Shawn Williams;DB ; CIN;169.10
Antoine Bethea;DB ; NYG;168.43
Jessie Bates;DB ; CIN;168.30
Marlon Humphrey;DB ; BAL;165.60
Malcolm Jenkins;DB ; PHI;164.15
Joe Haden;DB ; PIT;163.07
Taylor Rapp;DB ; LA;162.20
Vonn Bell;DB ; NO;161.55
Tre'Davious White;DB ; BUF;160.40
Kyle Fuller;DB ; CHI;159.23
Tyrann Mathieu;DB ; KC;158.93
Kevin King;DB ; GB;158.80
Stephon Gilmore;DB ; NE;157.40
Kevin Byard;DB ; TEN;156.43
Tre Flowers;DB ; SEA;153.10
Minkah Fitzpatrick;DB ; PIT;152.97
