PlayerName;Pos;Team;PassingYDS;PassingTD;PassingInt;RushingPassingYDS;ReceivingRec;ReceivingYDS;ReceivingTD;RetTD;FumTD;2PT;Fum;TotalPoints;Rank
Lamar Jackson;QB;BAL;3127;36;6;1206;-;-;-;-;-;-;9;410.58;1
Dak Prescott;QB;DAL;4902;30;11;277;-;-;-;-;-;1;6;334.61;2
Russell Wilson;QB;SEA;4110;31;5;342;-;-;-;-;-;1;7;323.23;3
Deshaun Watson;QB;HOU;3852;26;12;413;1;6;1;-;-;1;10;317.38;4
Patrick Mahomes;QB;KC;4031;26;5;218;-;-;-;-;-;1;3;287.04;5
Kyler Murray;QB;ARI;3722;20;12;544;-;-;-;-;-;3;5;286.78;6
Carson Wentz;QB;PHI;4039;27;7;243;-;-;-;-;-;2;16;278.99;7
Aaron Rodgers;QB;GB;4002;26;4;183;-;-;-;-;-;3;4;278.21;8
Josh Allen;QB;BUF;3089;20;9;510;-;-;-;-;-;3;14;277.53;9
Tom Brady;QB;TB;4057;24;8;34;-;-;-;-;-;1;4;268.68;10
Matt Ryan;QB;ATL;4466;26;14;147;-;-;-;-;-;1;9;264.34;11
Derek Carr;QB;LV;4054;21;8;82;-;-;-;-;-;-;7;245.73;12
Jimmy Garoppolo;QB;SF;3978;27;13;62;-;-;-;-;-;2;10;242.62;13
Kirk Cousins;QB;MIN;3603;26;6;63;-;-;-;-;-;1;10;238.19;14
Ryan Fitzpatrick;QB;MIA;3529;20;13;243;-;-;-;-;-;1;9;237.19;15
Jared Goff;QB;LA;4638;22;16;40;-;-;-;-;-;-;10;236.89;16
Baker Mayfield;QB;CLE;3827;22;21;141;-;-;-;-;-;1;6;229.51;17
Drew Brees;QB;NO;2979;27;4;-4;-;-;-;-;-;-;-;224.76;18
Philip Rivers;QB;IND;4615;23;20;29;-;-;-;-;-;1;8;224.67;19
Ryan Tannehill;QB;TEN;2742;22;6;185;-;-;-;-;-;1;6;222.15;20
Gardner Minshew;QB;JAX;3271;21;6;344;-;-;-;-;-;3;13;220.07;21
Jacoby Brissett;QB;IND;2942;18;6;228;1;2;-;-;-;1;7;218.01;22
Daniel Jones;QB;NYG;3027;24;12;279;-;-;-;-;-;2;18;210.48;23
Mitchell Trubisky;QB;CHI;3138;17;10;193;-;-;-;-;-;1;5;203.65;24
Andy Dalton;QB;DAL;3494;16;14;73;1;-4;-;-;-;2;8;200.89;25
Sam Darnold;QB;NYJ;3024;19;13;62;-;-;-;-;-;3;11;178.63;26
Kyle Allen;QB;WAS;3322;17;16;106;-;-;-;-;-;-;13;176.25;27
Matthew Stafford;QB;DET;2499;19;5;66;-;-;-;-;-;-;5;165.23;28
Mason Rudolph;QB;PIT;1765;13;9;42;-;-;-;-;-;-;4;103.80;29
Case Keenum;QB;CLE;1707;11;5;12;-;-;-;-;-;-;6;100.41;30
Teddy Bridgewater;QB;CAR;1384;9;2;31;-;-;-;-;-;-;1;88.46;31
Marcus Mariota;QB;LV;1203;7;2;129;-;-;-;-;-;-;3;83.02;32
Dwayne Haskins;QB;WAS;1365;7;7;101;-;-;-;-;-;1;6;72.37;33
Drew Lock;QB;DEN;1020;7;3;72;-;-;-;-;-;-;3;63.87;34
Jeff Driskel;QB;DEN;685;4;4;151;1;6;-;-;-;-;1;56.60;35
David Blough;QB;DET;984;4;6;31;1;19;1;-;-;-;1;54.86;36
Devlin Hodges;QB;PIT;1063;5;8;68;-;-;-;-;-;-;5;49.32;37
Nick Foles;QB;CHI;736;3;2;23;-;-;-;-;-;1;2;37.74;38
Matt Schaub;QB;ATL;580;3;1;-3;-;-;-;-;-;1;1;32.90;39
Brandon Allen;QB;DEN;515;3;2;39;-;-;-;-;-;-;-;32.50;40
Chase Daniel;QB;DET;435;3;2;6;-;-;-;-;-;-;-;26.00;41
Ryan Finley;QB;CIN;474;2;2;77;-;-;-;-;-;-;4;24.66;42
Brian Hoyer;QB;NE;372;4;4;2;-;-;-;-;-;-;2;19.08;43
AJ McCarron;QB;HOU;225;-;1;39;-;-;-;-;-;-;-;16.90;44
Robert Griffin III;QB;BAL;225;1;2;70;-;-;-;-;-;-;-;16.00;45
Josh Rosen;QB;MIA;567;1;5;13;-;-;-;-;-;-;1;15.98;46
Ben Roethlisberger;QB;PIT;351;-;1;7;-;-;-;-;-;-;1;12.74;47
Brett Hundley;QB;ARI;49;-;-;41;-;-;-;-;-;-;-;6.06;48
Tyrod Taylor;QB;LAC;33;1;-;7;-;-;-;-;-;-;-;6.02;49
Matt Barkley;QB;BUF;359;-;3;-4;-;-;-;-;-;-;3;3.79;50
Colt McCoy;QB;NYG;122;-;1;14;-;-;-;-;-;-;2;2.28;51
Will Grier;QB;CAR;228;-;4;22;-;-;-;-;-;-;1;1.25;52
Ryan Griffin;QB;TB;18;-;-;-1;-;-;-;-;-;-;-;0.62;53
Trace McSorley;QB;BAL;-;-;-;1;-;-;-;-;-;-;-;0.10;54
Alex Tanney;QB;NYG;1;-;-;-;-;-;-;-;-;-;-;0.04;55
Drew Anderson;QB;ARI;-;-;-;-;-;-;-;-;-;-;-;0.00;56
J.T. Barrett;QB;PIT;-;-;-;-;-;-;-;-;-;-;-;0.00;57
C.J. Beathard;QB;SF;-;-;-;-;-;-;-;-;-;-;-;0.00;58
Kurt Benkert;QB;ATL;-;-;-;-;-;-;-;-;-;-;-;0.00;59
Blake Bortles;QB;LA;-;-;-;-;-;-;-;-;-;-;-;0.00;60
Tyler Bray;QB;CHI;-;-;-;-;-;-;-;-;-;-;-;0.00;61
Jake Browning;QB;MIN;-;-;-;-;-;-;-;-;-;-;-;0.00;62
Joe Burrow;QB;CIN;-;-;-;-;-;-;-;-;-;-;-;0.00;63
Case Cookus;QB;NYG;-;-;-;-;-;-;-;-;-;-;-;0.00;64
Kevin Davidson;QB;CLE;-;-;-;-;-;-;-;-;-;-;-;0.00;65
Ben DiNucci;QB;DAL;-;-;-;-;-;-;-;-;-;-;-;0.00;66
Joshua Dobbs;QB;JAX;-;-;-;-;-;-;-;-;-;-;-;0.00;67
Jake Dolegala;QB;CIN;-;-;-;-;-;-;-;-;-;-;-;0.00;68
Jacob Eason;QB;IND;-;-;-;-;-;-;-;-;-;-;-;0.00;69
Danny Etling;QB;ATL;-;-;-;-;-;-;-;-;-;-;-;0.00;70
David Fales;QB;NYJ;-;-;-;-;-;-;-;-;-;-;-;0.00;71
Joe Flacco;QB;DEN;-;-;-;-;-;-;-;-;-;-;-;0.00;72
Jake Fromm;QB;BUF;-;-;-;-;-;-;-;-;-;-;-;0.00;73
Blaine Gabbert;QB;TB;-;-;-;-;-;-;-;-;-;-;-;0.00;74
Mike Glennon;QB;JAX;-;-;-;-;-;-;-;-;-;-;-;0.00;75
Anthony Gordon;QB;SEA;-;-;-;-;-;-;-;-;-;-;-;0.00;76
Chad Henne;QB;KC;-;-;-;-;-;-;-;-;-;-;-;0.00;77
Justin Herbert;QB;LAC;-;-;-;-;-;-;-;-;-;-;-;0.00;78
Taysom Hill;QB;NO;-;-;-;-;-;-;-;-;-;-;-;0.00;79
Tyler Huntley;QB;BAL;-;-;-;-;-;-;-;-;-;-;-;0.00;80
Jalen Hurts;QB;PHI;-;-;-;-;-;-;-;-;-;-;-;0.00;81
Josh Johnson;QB;FA;-;-;-;-;-;-;-;-;-;-;-;0.00;82
Colin Kaepernick;QB;FA;-;-;-;-;-;-;-;-;-;-;-;0.00;83
Chad Kelly;QB;IND;-;-;-;-;-;-;-;-;-;-;-;0.00;84
Cody Kessler;QB;NE;-;-;-;-;-;-;-;-;-;-;-;0.00;85
DeShone Kizer;QB;FA;-;-;-;-;-;-;-;-;-;-;-;0.00;86
Kyle Lauletta;QB;PHI;-;-;-;-;-;-;-;-;-;-;-;0.00;87
Brian Lewerke;QB;NE;-;-;-;-;-;-;-;-;-;-;-;0.00;88
Jordan Love;QB;GB;-;-;-;-;-;-;-;-;-;-;-;0.00;89
Josh Love;QB;LA;-;-;-;-;-;-;-;-;-;-;-;0.00;90
Jake Luton;QB;JAX;-;-;-;-;-;-;-;-;-;-;-;0.00;91
Paxton Lynch;QB;PIT;-;-;-;-;-;-;-;-;-;-;-;0.00;92
Josh McCown;QB;PHI;-;-;-;-;-;-;-;-;-;-;-;0.00;93
