PlayerName;Pos;Team;PassingYDS;PassingTD;PassingInt;RushingPassingYDS;ReceivingRec;ReceivingYDS;ReceivingTD;RetTD;FumTD;2PT;Fum;TotalPoints;Rank
Christian McCaffrey;RB;CAR;-;-;-;1387;116;1005;4;-;-;1;1;413.20;1
Aaron Jones;RB;GB;-;-;-;1084;49;474;3;-;-;-;3;291.30;2
Ezekiel Elliott;RB;DAL;-;-;-;1357;54;420;2;-;-;-;3;286.70;3
Derrick Henry;RB;TEN;-;-;-;1540;18;206;2;-;-;-;5;282.60;4
Dalvin Cook;RB;MIN;-;-;-;1135;53;519;-;-;-;-;4;263.90;5
Austin Ekeler;RB;LAC;-;-;-;557;92;993;8;-;-;-;3;263.00;6
Nick Chubb;RB;CLE;-;-;-;1494;36;278;-;-;-;-;3;238.20;7
Mark Ingram;RB;BAL;-;-;-;1018;26;247;5;-;-;2;2;234.50;8
Leonard Fournette;RB;JAX;-;-;-;1152;76;522;-;-;-;-;1;224.90;9
Saquon Barkley;RB;NYG;-;-;-;1003;52;438;2;-;-;-;1;221.10;10
Chris Carson;RB;SEA;-;-;-;1230;37;266;2;-;-;-;7;210.10;11
Joe Mixon;RB;CIN;-;-;-;1137;35;287;3;-;-;-;-;209.90;12
Todd Gurley;RB;ATL;-;-;-;857;31;207;2;-;-;1;3;202.90;13
Alvin Kamara;RB;NO;13;-;-;797;81;533;1;-;-;-;4;202.02;14
Miles Sanders;RB;PHI;-;-;-;818;50;509;3;-;-;1;2;191.70;15
Kenyan Drake;RB;ARI;-;-;-;817;50;345;-;-;-;1;2;191.20;16
Josh Jacobs;RB;LV;-;-;-;1150;20;166;-;-;-;-;1;184.60;17
Phillip Lindsay;RB;DEN;-;-;-;1011;35;196;-;-;-;-;-;183.20;18
Le'Veon Bell;RB;NYJ;-;-;-;789;66;461;1;-;-;1;1;182.00;19
Marlon Mack;RB;IND;-;-;-;1091;14;82;-;-;-;1;-;176.30;20
Raheem Mostert;RB;SF;-;-;-;772;14;180;2;-;-;-;2;171.70;21
James White;RB;NE;35;-;-;263;72;645;5;-;-;1;1;166.20;22
David Montgomery;RB;CHI;-;-;-;889;25;185;1;-;-;-;2;159.90;23
Ronald Jones;RB;TB;-;-;-;724;31;309;-;-;-;-;3;150.80;24
Sony Michel;RB;NE;-;-;-;912;12;94;-;-;-;-;2;147.60;25
Adrian Peterson;RB;WAS;-;-;-;898;17;142;-;-;-;-;3;144.00;26
Latavius Murray;RB;NO;-;-;-;637;34;235;1;-;-;-;-;140.20;27
Duke Johnson;RB;HOU;-;-;-;410;44;410;3;-;-;-;1;135.00;28
Jamaal Williams;RB;GB;-;-;-;460;39;253;5;-;-;-;-;130.80;29
James Conner;RB;PIT;-;-;-;464;34;251;3;-;-;-;1;130.50;30
Tevin Coleman;RB;SF;-;-;-;544;21;180;1;-;-;-;-;129.90;31
Devin Singletary;RB;BUF;-;-;-;775;29;194;2;-;-;-;4;129.40;32
Damien Williams;RB;KC;-;-;-;498;30;213;2;-;-;-;1;128.10;33
Royce Freeman;RB;DEN;-;-;-;496;43;256;1;-;-;-;-;125.70;34
David Johnson;RB;HOU;-;-;-;345;36;370;4;-;-;-;1;124.50;35
Tarik Cohen;RB;CHI;-;-;-;213;79;456;3;-;-;-;3;120.40;36
Peyton Barber;RB;WAS;-;-;-;470;16;115;1;-;-;1;1;109.50;37
Jordan Howard;RB;MIA;-;-;-;525;10;69;1;-;-;-;-;106.40;38
DeAndre Washington;RB;KC;-;-;-;387;36;292;-;-;-;-;-;105.90;39
Nyheim Hines;RB;IND;-;-;-;199;44;320;-;2;-;-;1;99.40;40
Rex Burkhead;RB;NE;-;-;-;302;27;279;-;-;-;-;1;92.10;41
Gus Edwards;RB;BAL;-;-;-;711;7;45;-;-;-;-;2;92.10;42
Tony Pollard;RB;DAL;-;-;-;455;15;107;1;-;-;1;1;82.70;43
Chase Edmonds;RB;ARI;-;-;-;303;12;105;1;-;-;-;-;81.80;44
Jaylen Samuels;RB;PIT;35;-;1;175;47;305;1;-;-;-;1;80.90;45
Boston Scott;RB;PHI;-;-;-;245;24;204;-;-;-;-;4;80.90;46
Kerryon Johnson;RB;DET;-;-;-;403;10;127;1;-;-;-;1;80.00;47
Rashaad Penny;RB;SEA;-;-;-;370;8;83;1;-;-;-;1;71.30;48
J.D. McKissic;RB;WAS;-;-;-;205;34;233;1;-;-;-;-;66.80;49
Alexander Mattison;RB;MIN;-;-;-;462;10;82;-;-;-;-;1;65.40;50
Jalen Richard;RB;LV;-;-;-;145;36;323;-;-;-;-;2;64.80;51
Patrick Laird;RB;MIA;-;-;-;168;23;204;-;-;-;1;-;64.20;52
Darrel Williams;RB;KC;-;-;-;141;15;167;1;-;-;-;1;62.30;53
Malcolm Brown;RB;LA;-;-;-;255;2;16;-;-;-;-;-;61.60;54
Benny Snell;RB;PIT;-;-;-;426;3;23;-;-;-;-;1;60.40;55
Dare Ogunbowale;RB;TB;-;-;-;17;35;286;-;-;-;-;2;59.30;56
Brandon Bolden;RB;NE;-;-;-;68;9;111;1;-;-;-;-;57.40;57
Dion Lewis;RB;NYG;-;-;-;209;25;164;1;-;-;-;1;55.80;58
Giovani Bernard;RB;CIN;-;-;-;170;30;234;-;-;-;-;2;54.40;59
Derrius Guice;RB;WAS;-;-;-;245;7;79;1;-;-;-;-;53.90;60
Ty Johnson;RB;DET;-;-;-;273;24;109;-;-;-;-;1;53.20;61
Mike Boone;RB;MIN;-;-;-;273;3;17;-;-;-;-;-;52.00;62
Jordan Wilkins;RB;IND;-;-;-;307;7;43;-;-;-;-;-;51.50;63
Jeff Wilson;RB;SF;-;-;-;105;3;34;1;-;-;-;-;48.40;64
Ryquell Armstead;RB;JAX;-;-;-;108;14;144;2;-;-;-;-;47.70;65
Justice Hill;RB;BAL;-;-;-;225;8;70;-;-;-;-;-;46.50;66
Kalen Ballage;RB;MIA;-;-;-;135;14;63;-;-;-;-;-;45.30;67
Wayne Gallman;RB;NYG;-;-;-;110;11;102;1;-;-;-;1;43.70;68
Kyle Juszczyk;RB;SF;-;-;-;7;20;239;1;-;-;-;-;43.07;69
Bo Scarbrough;RB;DET;-;-;-;377;1;5;-;-;-;-;1;42.70;70
Dontrell Hilliard;RB;CLE;-;-;-;49;12;92;-;-;-;-;2;39.60;71
Ameer Abdullah;RB;MIN;-;-;-;115;15;88;1;-;-;-;1;38.30;72
Qadree Ollison;RB;ATL;-;-;-;50;1;7;-;-;-;-;1;33.70;73
C.J. Ham;RB;MIN;-;-;-;17;17;149;1;-;-;-;1;33.10;74
Patrick Ricard;RB;BAL;-;-;-;-;8;47;1;-;-;-;-;32.70;75
Ito Smith;RB;ATL;-;-;-;106;11;87;-;-;-;-;-;30.80;76
Travis Homer;RB;SEA;-;-;-;114;11;56;-;-;-;-;-;29.50;77
Reggie Bonnafon;RB;CAR;-;-;-;116;6;57;-;-;-;-;-;28.80;78
Darwin Thompson;RB;KC;-;-;-;128;9;43;-;-;-;-;-;28.60;79
Myles Gaskin;RB;MIA;-;-;-;133;7;51;-;-;-;-;-;27.90;80
Justin Jackson;RB;LAC;-;-;-;200;9;22;-;-;-;-;-;26.70;81
Derek Watt;RB;PIT;-;-;-;10;3;32;-;-;-;-;-;26.20;82
