PlayerName;Pos;Team;PassingYDS;PassingTD;PassingInt;RushingPassingYDS;ReceivingRec;ReceivingYDS;ReceivingTD;RetTD;FumTD;2PT;Fum;TotalPoints;Rank
Travis Kelce;TE;KC;-;-;-;4;97;1229;5;-;-;-;1;206.80;1
George Kittle;TE;SF;-;-;-;22;85;1053;5;-;-;-;1;186.00;2
Darren Waller;TE;LV;-;-;-;5;90;1145;3;-;-;-;1;177.00;3
Mark Andrews;TE;BAL;-;-;-;-;64;852;10;-;-;-;2;176.20;4
Zach Ertz;TE;PHI;-;-;-;-;88;916;6;-;-;1;1;171.60;5
Austin Hooper;TE;CLE;-;-;-;-;75;787;6;-;-;1;-;155.70;6
Jared Cook;TE;NO;-;-;-;-;43;705;9;-;-;-;-;149.07;7
Tyler Higbee;TE;LA;-;-;-;-;69;734;3;-;-;-;-;127.90;8
Hunter Henry;TE;LAC;-;-;-;-;55;652;5;-;-;1;1;126.70;9
Dallas Goedert;TE;PHI;-;-;-;-;58;607;5;-;-;-;2;119.70;10
Mike Gesicki;TE;MIA;-;-;-;-;51;570;5;-;-;-;1;112.50;11
Jason Witten;TE;LV;-;-;-;-;63;529;4;-;-;1;1;109.40;12
Greg Olsen;TE;SEA;-;-;-;-;52;597;2;-;-;-;-;97.70;13
Kyle Rudolph;TE;MIN;-;-;-;-;39;367;6;-;-;1;-;94.20;14
Noah Fant;TE;DEN;-;-;-;-12;40;562;3;-;-;-;1;93.00;15
Jonnu Smith;TE;TEN;-;-;-;78;35;439;3;-;-;-;-;91.20;16
Jack Doyle;TE;IND;-;-;-;-;43;448;4;-;-;-;1;88.30;17
Tyler Eifert;TE;JAX;-;-;-;-;43;436;3;-;-;1;-;88.10;18
Evan Engram;TE;NYG;-;-;-;7;44;467;3;-;-;-;-;87.40;19
Ryan Griffin;TE;NYJ;-;-;-;-;34;320;5;-;-;1;-;86.50;20
Jimmy Graham;TE;CHI;-;-;-;-;38;447;3;-;-;-;1;79.70;21
Cameron Brate;TE;TB;-;-;-;-;36;311;4;-;-;-;-;73.10;22
Eric Ebron;TE;PIT;-;-;-;-;31;375;3;-;-;-;-;72.00;23
O.J. Howard;TE;TB;-;-;-;-;34;459;1;-;-;-;1;71.90;24
Jordan Akins;TE;HOU;-;-;-;-;36;418;2;-;-;-;-;71.80;25
Gerald Everett;TE;LA;-;-;-;-;37;408;2;-;-;-;-;71.30;26
Dawson Knox;TE;BUF;-;-;-;9;28;388;2;-;-;-;-;65.70;27
T.J. Hockenson;TE;DET;-;-;-;-;32;367;2;-;-;-;-;64.70;28
Will Dissly;TE;SEA;-;-;-;7;23;262;4;-;-;-;1;63.90;29
Vance McDonald;TE;PIT;-;-;-;2;38;273;3;-;-;-;1;63.50;30
Irv Smith;TE;MIN;-;-;-;-;36;311;2;-;-;-;1;63.10;31
Hayden Hurst;TE;ATL;-;-;-;-;30;349;2;-;-;-;-;61.90;32
Foster Moreau;TE;LV;-;-;-;-;21;174;5;-;-;-;-;61.90;33
Nick Boyle;TE;BAL;-;-;-;-;31;321;2;-;-;-;-;61.60;34
Kaden Smith;TE;NYG;-;-;-;-;31;268;3;-;-;-;2;61.30;35
Josh Hill;TE;NO;-;-;-;-;25;226;3;-;-;-;-;56.10;36
Ricky Seals-Jones;TE;KC;-;-;-;-;14;229;4;-;-;-;1;51.90;37
C.J. Uzomah;TE;CIN;-;-;-;-;27;242;2;-;-;-;-;51.20;38
Jeremy Sprinkle;TE;WAS;-;-;-;-;26;241;1;-;-;-;1;46.10;39
Demetrius Harris;TE;CHI;-;-;-;-;15;149;3;-;-;1;-;43.40;40
Logan Thomas;TE;WAS;-;-;-;-;16;173;1;-;-;-;-;40.30;41
Maxx Williams;TE;ARI;-;-;-;-;15;202;1;-;-;-;-;37.70;42
James O'Shaughnessy;TE;JAX;-;-;-;-;14;153;2;-;-;-;-;34.30;43
Anthony Firkser;TE;TEN;-;-;-;-;14;204;1;-;-;-;-;33.40;44
Ross Dwelley;TE;SF;-;-;-;-;15;91;2;-;-;-;-;33.10;45
Derek Carrier;TE;LV;-;-;-;27;13;108;1;-;-;-;-;32.00;46
Jaeden Graham;TE;ATL;-;-;-;-;9;149;1;-;-;-;-;30.90;47
Marcedes Lewis;TE;GB;-;-;-;-;15;156;1;-;-;-;-;30.10;48
Dan Arnold;TE;ARI;-;-;-;-;8;127;2;-;-;-;-;28.70;49
Ian Thomas;TE;CAR;-;-;-;-;16;136;1;-;-;-;-;27.60;50
Nick Vannett;TE;DEN;-;-;-;-;17;166;-;-;-;-;-;26.10;51
Matt LaCosse;TE;NE;-;-;-;-;13;131;1;-;-;-;-;25.60;52
Jeff Heuerman;TE;DEN;-;-;-;-;14;114;1;-;-;-;-;25.40;53
Nick O'Leary;TE;LV;-;-;-;-;13;109;1;-;-;-;1;23.40;54
Jesse James;TE;DET;-;-;-;-;16;142;-;-;-;-;-;23.20;55
Andrew Beck;TE;DEN;6;-;-;3;9;90;1;-;-;-;-;22.04;56
Daniel Brown;TE;NYJ;-;-;-;-;7;72;1;-;-;-;-;21.70;57
Hale Hentges;TE;WAS;-;-;-;-;8;103;1;-;-;-;-;21.30;58
Robert Tonyan;TE;GB;-;-;-;-;10;100;1;-;-;-;-;21.00;59
Ryan Izzo;TE;NE;-;-;-;-;6;114;1;-;-;-;-;20.40;60
Seth DeValve;TE;CAR;-;-;-;-;12;140;-;-;-;-;-;20.00;61
MyCole Pruitt;TE;TEN;-;-;-;-;6;90;1;-;-;-;-;19.50;62
Ben Braunecker;TE;CHI;-;-;-;-;6;59;1;-;-;-;-;19.40;63
Josh Perkins;TE;PHI;-;-;-;-;9;87;1;-;-;-;-;19.20;64
Virgil Green;TE;LAC;-;-;-;-;9;78;1;-;-;-;-;18.30;65
Jesper Horsted;TE;CHI;-;-;-;-;8;87;1;-;-;-;1;18.00;66
Durham Smythe;TE;MIA;-;-;-;-;7;65;-;-;-;-;-;17.50;67
Trey Burton;TE;IND;-;-;-;-;14;84;-;-;-;-;-;17.40;68
Tyler Kroft;TE;BUF;-;-;-;-;6;71;1;-;-;-;-;16.10;69
Tommy Sweeney;TE;BUF;-;-;-;-;8;114;-;-;-;-;-;15.40;70
Mo Alie-Cox;TE;IND;-;-;-;-;8;93;-;-;-;-;-;14.30;71
Troy Fumagalli;TE;DEN;-;-;-;-;6;38;1;-;-;-;-;13.80;72
Stephen Carlson;TE;CLE;-;-;-;-;5;51;1;-;-;-;-;13.60;73
J.P. Holtz;TE;CHI;-;-;-;-;7;91;-;-;-;-;-;13.60;74
David Njoku;TE;CLE;-;-;-;-;5;41;1;-;-;-;-;13.60;75
Lee Smith;TE;BUF;-;-;-;-;4;31;1;-;-;-;-;13.10;76
Adam Shaheen;TE;CHI;-;-;-;-;9;74;-;-;-;1;1;12.90;77
Blake Bell;TE;DAL;-;-;-;-;8;67;-;-;-;-;-;12.70;78
Tyler Conklin;TE;MIN;-;-;-;-;8;58;-;-;-;-;-;11.80;79
Trevon Wesco;TE;NYJ;-;-;-;2;2;47;-;-;-;-;-;10.40;80
Johnny Mundt;TE;LA;-;-;-;-;4;26;-;-;-;-;-;9.60;81
Darrell Daniels;TE;ARI;-;-;-;-;1;4;-;-;-;-;-;7.40;82
Drew Sample;TE;CIN;-;-;-;-;5;30;-;-;-;-;-;6.50;83
Deon Yelder;TE;KC;-;-;-;-;3;50;-;-;-;-;-;6.50;84
Ross Travis;TE;NYJ;-;-;-;-;4;51;-;-;-;-;1;5.10;85
Antony Auclair;TE;TB;-;-;-;-;1;11;-;-;-;-;-;4.10;86
Tanner Hudson;TE;TB;-;-;-;-;2;26;-;-;-;-;-;3.60;87
Codey McElroy;TE;TB;-;-;-;-;1;30;-;-;-;-;-;3.50;88
Josh Oliver;TE;JAX;-;-;-;-;3;15;-;-;-;-;-;3.50;89
Eric Saubert;TE;CHI;-;-;-;-;2;21;-;-;-;-;-;3.10;90
Evan Baylis;TE;GB;-;-;-;-;-;-;-;-;-;-;-;3.00;91
Isaac Nauta;TE;DET;-;-;-;-;2;13;-;-;-;-;-;2.30;92
Levine Toilolo;TE;NYG;-;-;-;-;2;10;-;-;-;-;-;2.00;93
Zach Gentry;TE;PIT;-;-;-;-;1;4;-;-;-;-;-;1.90;94
Chris Manhertz;TE;CAR;-;-;-;-;1;11;-;-;-;-;-;1.60;95
