PlayerName;Pos;Team;PassingYDS;PassingTD;PassingInt;RushingPassingYDS;ReceivingRec;ReceivingYDS;ReceivingTD;RetTD;FumTD;2PT;Fum;TotalPoints;Rank
Michael Thomas;WR;NO;-;-;-;-9;149;1725;9;-;-;-;1;298.10;1
Chris Godwin;WR;TB;-;-;-;8;86;1333;9;-;-;1;-;239.10;2
Julio Jones;WR;ATL;-;-;-;-3;99;1394;6;-;-;-;1;225.60;3
Kenny Golladay;WR;DET;-;-;-;-;65;1190;11;-;-;-;1;220.50;4
Cooper Kupp;WR;LA;-;-;-;4;94;1161;10;-;-;-;3;220.50;5
DeAndre Hopkins;WR;ARI;6;1;1;18;104;1165;7;-;-;1;-;217.54;6
Keenan Allen;WR;LAC;-;-;-;16;104;1199;6;-;-;-;-;212.50;7
DeVante Parker;WR;MIA;-;-;-;-;72;1202;9;-;-;-;-;212.20;8
Allen Robinson;WR;CHI;-;-;-;2;98;1147;7;-;-;-;-;206.90;9
Julian Edelman;WR;NE;47;1;-;27;100;1117;6;-;-;1;3;203.28;10
Mike Evans;WR;TB;-;-;-;-;67;1157;8;-;-;1;-;203.20;11
Jarvis Landry;WR;CLE;-;-;-;10;83;1174;6;-;-;-;-;197.90;12
Tyler Lockett;WR;SEA;-;-;-;-5;82;1057;8;-;-;-;1;192.20;13
D.J. Moore;WR;CAR;-;-;-;40;87;1175;4;-;-;-;2;191.00;14
Robert Woods;WR;LA;-;-;-;115;90;1134;2;-;-;-;-;190.40;15
D.J. Chark;WR;JAX;-;-;-;20;73;1008;8;-;-;1;-;190.30;16
A.J. Brown;WR;TEN;-;-;-;60;52;1051;8;-;-;-;1;190.10;17
John Brown;WR;BUF;28;1;-;7;72;1060;6;-;-;-;-;187.82;18
Courtland Sutton;WR;DEN;38;-;-;17;72;1112;6;-;-;-;2;185.49;19
Tyler Boyd;WR;CIN;-;-;-;23;90;1046;5;-;-;-;2;180.90;20
Stefon Diggs;WR;BUF;-;-;-;61;63;1130;6;-;-;-;4;180.60;21
Michael Gallup;WR;DAL;-;-;-;-;66;1107;6;-;-;-;-;179.70;22
Davante Adams;WR;GB;-;-;-;-;83;997;5;-;-;1;2;170.20;23
Calvin Ridley;WR;ATL;-;-;-;34;63;866;7;-;-;1;-;166.50;24
Odell Beckham;WR;CLE;20;-;-;10;74;1035;4;-;-;-;1;166.30;25
Marvin Jones;WR;DET;-;-;-;-;62;779;9;-;-;-;-;165.90;26
Terry McLaurin;WR;WAS;-;-;-;-;58;919;7;-;-;-;-;165.90;27
Jamison Crowder;WR;NYJ;-;-;-;4;78;833;6;-;-;-;-;165.70;28
Deebo Samuel;WR;SF;-;-;-;159;57;802;3;-;-;1;2;161.60;29
Tyreek Hill;WR;KC;-;-;-;23;58;860;7;-;-;-;-;160.30;30
DK Metcalf;WR;SEA;-;-;-;11;58;900;7;-;-;1;3;159.10;31
Emmanuel Sanders;WR;NO;35;1;-;-;66;869;5;-;-;1;-;158.30;32
Curtis Samuel;WR;CAR;-;-;-;130;54;627;6;-;-;-;-;151.70;33
Cole Beasley;WR;BUF;-;-;-;-;67;778;6;-;-;2;-;151.30;34
Darius Slayton;WR;NYG;-;-;-;-;48;740;8;-;-;-;-;149.00;35
Larry Fitzgerald;WR;ARI;-;-;-;-;75;804;4;-;-;-;1;140.90;36
Mike Williams;WR;LAC;-;-;-;2;49;1001;2;-;-;-;-;139.30;37
Robby Anderson;WR;CAR;-;-;-;4;52;779;5;-;-;1;1;137.30;38
Christian Kirk;WR;ARI;-;-;-;93;68;709;3;-;-;1;-;135.20;39
Chris Conley;WR;JAX;-;-;-;-;47;775;5;-;-;1;-;134.00;40
Randall Cobb;WR;HOU;-;-;-;11;55;828;3;-;-;-;2;132.40;41
Dede Westbrook;WR;JAX;-;-;-;27;66;660;3;-;-;2;1;129.20;42
Golden Tate;WR;NYG;-;-;-;16;49;676;6;-;-;-;1;128.70;43
Diontae Johnson;WR;PIT;-;-;-;41;59;680;5;1;-;-;5;128.60;44
Zach Pascal;WR;IND;-;-;-;16;41;607;5;-;-;1;-;126.30;45
Marquise Brown;WR;BAL;-;-;-;-;46;584;7;-;-;-;-;123.40;46
Breshad Perriman;WR;NYJ;-;-;-;16;36;645;6;-;-;-;-;123.10;47
Tyrell Williams;WR;LV;-;-;-;-;42;651;6;-;-;-;-;122.10;48
Sterling Shepard;WR;NYG;-;-;-;72;57;576;3;-;-;1;-;115.30;49
James Washington;WR;PIT;-;-;-;-;44;735;3;-;-;-;1;113.50;50
Sammy Watkins;WR;KC;-;-;-;12;52;673;3;-;-;1;2;111.50;51
Danny Amendola;WR;DET;19;1;-;-;62;678;1;-;-;-;-;109.56;52
Anthony Miller;WR;CHI;-;-;-;-1;52;656;2;-;-;-;1;109.50;53
Mecole Hardman;WR;KC;-;-;-;17;26;538;6;1;-;-;2;108.50;54
Will Fuller;WR;HOU;-;-;-;-;49;670;3;-;-;-;1;107.50;55
Hunter Renfrow;WR;LV;-;-;-;-;49;605;4;-;-;-;1;107.00;56
T.Y. Hilton;WR;IND;-;-;-;-;45;501;5;-;-;-;-;103.60;57
Alshon Jeffery;WR;PHI;-;-;-;2;43;490;4;-;-;-;-;101.70;58
Kenny Stills;WR;HOU;-;-;-;-;40;561;4;-;-;-;-;101.10;59
Adam Thielen;WR;MIN;-;-;-;6;30;418;6;-;-;-;-;100.40;60
JuJu Smith-Schuster;WR;PIT;-;-;-;-;42;552;3;-;-;-;1;99.20;61
Mohamed Sanu;WR;NE;-;-;-;11;59;520;2;-;-;-;-;98.60;62
Brandin Cooks;WR;HOU;-;-;-;52;42;583;2;-;-;-;-;97.50;63
Corey Davis;WR;TEN;-;-;-;-;43;601;2;-;-;-;1;92.60;64
Steven Sims;WR;WAS;-;-;-;85;34;310;4;1;-;-;1;90.50;65
Allen Lazard;WR;GB;-;-;-;21;35;477;3;-;-;-;-;90.30;66
Demarcus Robinson;WR;KC;-;-;-;-;32;449;4;-;-;-;-;86.90;67
Phillip Dorsett;WR;SEA;-;-;-;21;29;397;5;-;-;-;-;86.30;68
