first_name,last_name,team_full_name,position,round,keeper_value
Christian,McCaffrey,San Francisco 49ers,RB,1,1
CeeDee,Lamb,Dallas Cowboys,WR,1,1
Bijan,Robinson,Atlanta Falcons,RB,1,1
Breece,Hall,New York Jets,RB,1,1
Josh,Allen,Buffalo Bills,QB,1,1
Tyreek,Hill,Miami Dolphins,WR,1,1
Jalen,Hurts,Philadelphia Eagles,QB,1,1
Patrick,Mahomes,Kansas City Chiefs,QB,1,1
Jahmyr,Gibbs,Detroit Lions,RB,1,1
Anthony,Richardson Sr.,Indianapolis Colts,QB,1,1
Dak,Prescott,Dallas Cowboys,QB,2,1
Kyler,Murray,Arizona Cardinals,QB,2,1
Amon-Ra,St. Brown,Detroit Lions,WR,2,1
Lamar,Jackson,Baltimore Ravens,QB,2,1
C.J.,Stroud,Houston Texans,QB,2,1
Justin,Jefferson,Minnesota Vikings,WR,2,1
Joe,Burrow,Cincinnati Bengals,QB,2,1
Jordan,Love,Green Bay Packers,QB,2,1
Justin,Herbert,Los Angeles Chargers,QB,2,1
Brock,Purdy,San Francisco 49ers,QB,2,1
Garrett,Wilson,New York Jets,WR,3,1
Tony,Pollard,Tennessee Titans,RB,3,1
Ja&#39;Marr,Chase,Cincinnati Bengals,WR,3,1
A.J.,Brown,Philadelphia Eagles,WR,3,1
Jonathan,Taylor,Indianapolis Colts,RB,3,1
Saquon,Barkley,Philadelphia Eagles,RB,3,1
Derrick,Henry,Baltimore Ravens,RB,3,1
Travis,Etienne Jr.,Jacksonville Jaguars,RB,3,1
Marvin,Harrison Jr.,Arizona Cardinals,WR,3,1
Kyren,Williams,Los Angeles Rams,RB,3,1
Isiah,Pacheco,Kansas City Chiefs,RB,4,2
Josh,Jacobs,Green Bay Packers,RB,4,2
Puka,Nacua,Los Angeles Rams,WR,4,2
Drake,London,Atlanta Falcons,WR,4,2
Chris,Olave,New Orleans Saints,WR,4,2
Jayden,Daniels,Washington Redskins,QB,4,2
Travis,Kelce,Kansas City Chiefs,TE,4,2
De&#39;Von,Achane,Miami Dolphins,RB,4,2
Nick,Chubb,Houston Texans,RB,4,2
Davante,Adams,Los Angeles Rams,WR,4,2
Cooper,Kupp,Seattle Seahawks,WR,5,2
Deebo,Samuel Sr.,Washington Redskins,WR,5,2
Malik,Nabers,New York Giants,WR,5,2
Mike,Evans,Tampa Bay Buccaneers,WR,5,2
James,Cook,Buffalo Bills,RB,5,2
Nico,Collins,Houston Texans,WR,5,2
Jaylen,Waddle,Miami Dolphins,WR,5,2
Caleb,Williams,Chicago Bears,QB,5,2
Trevor,Lawrence,Jacksonville Jaguars,QB,5,2
DK,Metcalf,Pittsburgh Steelers,WR,5,2
Amari,Cooper,Buffalo Bills,WR,6,3
Kenneth,Walker III,Seattle Seahawks,RB,6,3
Alvin,Kamara,New Orleans Saints,RB,6,3
Rachaad,White,Tampa Bay Buccaneers,RB,6,3
Joe,Mixon,Houston Texans,RB,6,3
Brandon,Aiyuk,San Francisco 49ers,WR,6,3
James,Conner,Arizona Cardinals,RB,6,3
Tua,Tagovailoa,Miami Dolphins,QB,6,3
Zamir,White,Las Vegas Raiders,RB,6,3
Mark,Andrews,Baltimore Ravens,TE,6,3
Rhamondre,Stevenson,New England Patriots,RB,7,3
Tee,Higgins,Cincinnati Bengals,WR,7,3
Zay,Flowers,Baltimore Ravens,WR,7,3
Michael,Pittman Jr.,Indianapolis Colts,WR,7,3
DJ,Moore,Chicago Bears,WR,7,3
Jared,Goff,Detroit Lions,QB,7,3
Rashee,Rice,Kansas City Chiefs,WR,7,3
DeVonta,Smith,Philadelphia Eagles,WR,7,3
Tank,Dell,Houston Texans,WR,7,3
Stefon,Diggs,New England Patriots,WR,7,3
Najee,Harris,Los Angeles Chargers,RB,8,4
Kyle,Pitts,Atlanta Falcons,TE,8,4
David,Montgomery,Detroit Lions,RB,8,4
Sam,LaPorta,Detroit Lions,TE,8,4
