id,round,lastName,firstName,position,team,keeper,keeperVale
66941,1,Harris,Najee,RB,Pittsburgh Steelers,False,1
22411,1,Kelce,Travis,TE,Kansas City Chiefs,False,1
63611,1,Edwards-Helaire,Clyde,RB,Kansas City Chiefs,False,1
46580,1,Henry,Derrick,RB,Tennessee Titans,True,1
31912,1,Cook,Dalvin,RB,Minnesota Vikings,True,1
31429,1,Carson,Chris,RB,Seattle Seahawks,False,1
46309,1,Edwards,Gus,RB,Baltimore Ravens,False,1
32828,1,Hill,Tyreek,WR,Miami Dolphins,True,1
47382,1,Barkley,Saquon,RB,New York Giants,True,1
32026,1,Mixon,Joe,RB,Cincinnati Bengals,True,1
54623,1,Sanders,Miles,RB,Philadelphia Eagles,False,1
24201,1,McCaffrey,Christian,RB,Carolina Panthers,True,1
47370,2,Allen,Keenan,WR,Los Angeles Chargers,False,2
56553,2,Jacobs,Josh,RB,Las Vegas Raiders,False,2
46466,2,Hopkins,DeAndre,WR,Arizona Cardinals,True,1
47377,2,Elliott,Ezekiel,RB,Dallas Cowboys,True,1
46920,2,Robinson II,Allen,WR,Los Angeles Rams,False,2
31553,2,Mahomes,Patrick,QB,Kansas City Chiefs,False,2
66990,2,Williams,Javonte,RB,Denver Broncos,False,2
24272,2,Kamara,Alvin,RB,New Orleans Saints,True,1
47401,2,Adams,Davante,WR,Las Vegas Raiders,True,1
47416,2,Evans,Mike,WR,Tampa Bay Buccaneers,False,2
56981,2,Jones,Aaron,RB,Green Bay Packers,True,1
2898,2,Woods,Robert,WR,Tennessee Titans,False,2
47295,3,Lockett,Tyler,WR,Seattle Seahawks,False,3
46685,3,Ekeler,Austin,RB,Los Angeles Chargers,True,1
63729,3,Taylor,Jonathan,RB,Indianapolis Colts,True,1
54596,3,Harris,Damien,RB,New England Patriots,False,3
36340,3,Edmonds,Chase,RB,Miami Dolphins,False,3
54601,3,Montgomery,David,RB,Chicago Bears,True,1
47378,3,Cooper,Amari,WR,Cleveland Browns,False,3
56036,3,Hunt,Kareem,RB,Cleveland Browns,False,3
36217,3,Ridley,Calvin,WR,Atlanta Falcons,True,1
36272,3,Chubb,Nick,RB,Cleveland Browns,True,1
66957,3,Pitts,Kyle,TE,Atlanta Falcons,False,3
36195,3,Allen,Josh,QB,Buffalo Bills,False,3
58603,4,Johnson,Diontae,WR,Pittsburgh Steelers,False,4
57331,4,Murray,Kyler,QB,Arizona Cardinals,False,4
32339,4,Godwin,Chris,WR,Tampa Bay Buccaneers,False,4
57445,4,Mostert,Raheem,RB,Miami Dolphins,False,4
63835,4,Gibson,Antonio,RB,Washington Redskins,True,2
63851,4,Swift,D&#39;Andre,RB,Detroit Lions,True,2
47419,4,Kittle,George,TE,San Francisco 49ers,True,2
36218,4,Moore,DJ,WR,Carolina Panthers,False,4
36267,4,Andrews,Mark,TE,Baltimore Ravens,True,2
47030,4,Diggs,Stefon,WR,Buffalo Bills,True,2
57401,4,Kupp,Cooper,WR,Los Angeles Rams,False,4
56930,4,Thomas,Logan,TE,Washington Redskins,False,4
47376,5,Prescott,Dak,QB,Dallas Cowboys,False,5
63707,5,Claypool,Chase,WR,Pittsburgh Steelers,False,5
63610,5,Jeudy,Jerry,WR,Denver Broncos,False,5
47402,5,Thielen,Adam,WR,Minnesota Vikings,False,5
36211,5,Jackson,Lamar,QB,Baltimore Ravens,False,5
54683,5,Metcalf,DK,WR,Seattle Seahawks,True,2
47369,5,Gordon III,Melvin,RB,Denver Broncos,False,5
1828,5,Jones,Julio,WR,Tennessee Titans,False,5
56038,5,Beckham Jr.,Odell,WR,Los Angeles Rams,False,5
56927,5,Hockenson,T.J.,TE,Detroit Lions,False,5
67034,5,Sermon,Trey,RB,San Francisco 49ers,False,5
