Pick,Round,PlayerName,Pos/Team,KeeperValue
1,1,Stefon Diggs,WR - MIN,1
2,1,Josh Jacobs,RB - OAK,1
3,1,Odell Beckham,WR - CLE,1
4,1,Travis Kelce,TE - KC,1
5,1,Melvin Gordon,RB - LAC,1
6,1,David Johnson,RB - ARI,1
7,1,Michael Thomas,WR - NO,1
8,1,Antonio Brown,WR,1
9,1,Julio Jones,WR - ATL,1
10,1,Todd Gurley,RB - LA,1
11,1,DeAndre Hopkins,WR - HOU,1
12,1,Saquon Barkley,RB - NYG,1
13,2,Ezekiel Elliott,RB - DAL,1
14,2,Amari Cooper,WR - DAL,1
15,2,Le'Veon Bell,RB - NYJ,1
16,2,Brandin Cooks,WR - LA,1
17,2,Leonard Fournette,RB - JAX,1
18,2,Devonta Freeman,RB - ATL,1
19,2,Christian McCaffrey,RB - CAR,1
20,2,Keenan Allen,WR - LAC,1
21,2,David Montgomery,RB - CHI,1
22,2,Davante Adams,WR - GB,1
23,2,Chris Godwin,WR - TB,1
24,2,Dalvin Cook,RB - MIN,1
25,3,Tyler Boyd,WR - CIN,1
26,3,Kenny Golladay,WR - DET,1
27,3,Derrick Henry,RB - TEN,1
28,3,Mark Ingram,RB - BAL,1
29,3,Robert Woods,WR - LA,1
30,3,Tyreek Hill,WR - KC,1
31,3,Cooper Kupp,WR - LA,1
32,3,Deshaun Watson,QB - HOU,1
33,3,T.Y. Hilton,WR - IND,1
34,3,Mike Evans,WR - TB,1
35,3,Calvin Ridley,WR - ATL,1
36,3,Joe Mixon,RB - CIN,1
37,4,Robby Anderson,WR - NYJ,2
38,4,Duke Johnson,RB - HOU,2
39,4,Mike Williams,WR - LAC,2
40,4,Phillip Lindsay,RB - DEN,2
41,4,Zach Ertz,TE - PHI,2
42,4,Aaron Rodgers,QB - GB,2
43,4,Alshon Jeffery,WR - PHI,2
44,4,Miles Sanders,RB - PHI,2
45,4,Adrian Peterson,RB - WAS,2
46,4,Tarik Cohen,RB - CHI,2
47,4,Christian Kirk,WR - ARI,2
48,4,Evan Engram,TE - NYG,2
