Pick;Round;PlayerName;Pos/Team;WasKepper;KeeperValue
1;1;Stefon Diggs;WR - MIN;No;1
2;1;Josh Jacobs;RB - LV;No;1
3;1;Odell Beckham;WR - CLE;Yes;1
4;1;Travis Kelce;TE - KC;Yes;1
5;1;Melvin Gordon;RB - LAC;Yes;1
6;1;David Johnson;RB - ARI;Yes;1
7;1;Michael Thomas;WR - NO;Yes;1
8;1;Antonio Brown;WR;Yes;1
9;1;Julio Jones;WR - ATL;Yes;1
10;1;Todd Gurley;RB - LA;Yes;1
11;1;DeAndre Hopkins;WR - HOU;Yes;1
12;1;Saquon Barkley;RB - NYG;Yes;1
13;2;Ezekiel Elliott;RB - DAL;Yes;1
14;2;Amari Cooper;WR - DAL;No;2
15;2;Le'Veon Bell;RB - NYJ;Yes;1
16;2;Brandin Cooks;WR - LA;No;2
17;2;Leonard Fournette;RB - JAX;No;2
18;2;Devonta Freeman;RB - ATL;No;2
19;2;Christian McCaffrey;RB - CAR;Yes;1
20;2;Keenan Allen;WR - LAC;Yes;1
21;2;David Montgomery;RB - CHI;No;2
22;2;Davante Adams;WR - GB;Yes;1
23;2;Chris Godwin;WR - TB;No;2
24;2;Dalvin Cook;RB - MIN;Yes;1
25;3;Tyler Boyd;WR - CIN;No;3
26;3;Kenny Golladay;WR - DET;No;3
27;3;Derrick Henry;RB - TEN;No;3
28;3;Mark Ingram;RB - BAL;No;3
29;3;Robert Woods;WR - LA;No;3
30;3;Tyreek Hill;WR - KC;Yes;1
31;3;Cooper Kupp;WR - LA;No;3
32;3;Deshaun Watson;QB - HOU;No;3
33;3;T.Y. Hilton;WR - IND;No;3
34;3;Mike Evans;WR - TB;Yes;1
35;3;Calvin Ridley;WR - ATL;No;3
36;3;Joe Mixon;RB - CIN;Yes;1
37;4;Robby Anderson;WR - NYJ;No;4
38;4;Duke Johnson;RB - HOU;No;4
39;4;Mike Williams;WR - LAC;No;4
40;4;Phillip Lindsay;RB - DEN;No;4
41;4;Zach Ertz;TE - PHI;Yes;2
42;4;Aaron Rodgers;QB - GB;No;4
