Pick,Round,PlayerName,Pos/Team,WasKepper,KeeperValue
1,1,Michael Thomas,WR - NO,Yes,1
2,1,Julio Jones,WR - ATL,Yes,1
3,1,DeAndre Hopkins,WR - ARI,Yes,1
4,1,Clyde Edwards-Helaire,RB - KC,No,1
5,1,Travis Kelce,TE - KC,Yes,1
6,1,Adam Thielen,WR - MIN,No,1
7,1,Joe Mixon,RB - CIN,No,1
8,1,Josh Jacobs,RB - LV,No,1
9,1,Davante Adams,WR - GB,Yes,1
10,1,Saquon Barkley,RB - NYG,Yes,1
11,1,Dalvin Cook,RB - MIN,No,1
12,1,Christian McCaffrey,RB - CAR,Yes,1
13,2,Melvin Gordon,RB - DEN,No,2
14,2,Keenan Allen,WR - LAC,No,2
15,2,Ezekiel Elliott,RB - DAL,Yes,1
16,2,Odell Beckham Jr.,WR - CLE,Yes,1
17,2,Todd Gurley,RB - ATL,No,2
18,2,Cooper Kupp,WR - LA,No,2
19,2,Allen Robinson,WR - CHI,No,2
20,2,Mike Evans,WR - TB,No,2
21,2,Chris Godwin,WR - TB,Yes,1
22,2,Tyreek Hill,WR - KC,Yes,1
23,2,Chris Carson,RB - SEA,Yes,1
24,2,Leonard Fournette,RB - TB,No,2
25,3,David Montgomery,RB - CHI,No,3
26,3,Raheem Mostert,RB - SF,No,3
27,3,Amari Cooper,WR - DAL,Yes,1
28,3,Jonathan Taylor,RB - IND,No,3
29,3,Mark Ingram,RB - BAL,No,3
30,3,T.Y. Hilton,WR - IND,No,3
31,3,Kenny Golladay,WR - DET,Yes,1
32,3,Le'Veon Bell,RB - KC,No,3
33,3,Derrick Henry,RB - TEN,Yes,1
34,3,Calvin Ridley,WR - ATL,No,3
35,3,Robert Woods,WR - LA,No,3
36,3,D'Andre Swift,RB - DET,No,3
37,4,A.J. Green,DB,No,4
38,4,Michael Gallup,WR - DAL,No,4
39,4,Patrick Mahomes,QB - KC,No,4
40,4,Mark Andrews,TE - BAL,No,4
41,4,Zach Ertz,TE - PHI,No,4
42,4,Antonio Gibson,RB - WAS,No,4
43,4,Miles Sanders,RB - PHI,Yes,2
44,4,Cam Akers,RB - LA,No,4
45,4,Stefon Diggs,WR - BUF,No,4
46,4,David Johnson,RB - HOU,No,4
47,4,JuJu Smith-Schuster,WR - PIT,No,4
48,4,DK Metcalf,WR - SEA,No,4
49,5,Kyler Murray,QB - ARI,No,5
50,5,James White,RB - NE,No,5
51,5,Jordan Howard,RB,No,5
52,5,Diontae Johnson,WR - PIT,No,5
53,5,Will Fuller,WR - HOU,No,5
54,5,Austin Ekeler,RB - LAC,Yes,2
55,5,Nick Chubb,RB - CLE,Yes,2
56,5,Deshaun Watson,QB - HOU,No,5
57,5,Dak Prescott,QB - DAL,No,5
58,5,Jarvis Landry,WR - CLE,No,5
59,5,Alvin Kamara,RB - NO,Yes,2
60,5,D.J. Moore,WR - CAR,Yes,2
61,6,Bobby Wagner,LB - SEA,No,6
62,6,J.K. Dobbins,RB - BAL,No,6
63,6,Devin Singletary,RB - BUF,Yes,3
64,6,Budda Baker,DB - ARI,No,6
65,6,Kareem Hunt,RB - CLE,No,6
66,6,Darren Waller,TE - LV,No,6
67,6,Julian Edelman,WR - NE,No,6
68,6,J.J. Watt,DL - HOU,No,6
69,6,Sterling Shepard,WR - NYG,No,6
70,6,Deion Jones,LB - ATL,No,6
71,6,Tyler Boyd,WR - CIN,No,6
72,6,Kenyan Drake,RB - ARI,Yes,3
73,7,Joe Schobert,LB - JAX,No,7
74,7,Danielle Hunter,DL - MIN,No,7
75,7,Cameron Jordan,DL - NO,No,7
76,7,Tyler Lockett,WR - SEA,Yes,3
77,7,John Brown,WR - BUF,No,7
78,7,Aaron Jones,RB - GB,Yes,3
79,7,Courtland Sutton,WR - DEN,Yes,3
80,7,Cory Littleton,LB - LV,No,7
81,7,Blake Martinez,LB - NYG,No,7
82,7,Jamison Crowder,WR - NYJ,No,7
83,7,Zack Moss,RB - BUF,No,7
84,7,Darius Leonard,LB - IND,No,7
85,8,Aaron Donald,DL - LA,No,8
86,8,Hunter Henry,TE - LAC,No,8
87,8,Austin Hooper,TE - CLE,No,8
88,8,Tarik Cohen,RB - CHI,No,8
89,8,Lavonte David,LB - TB,No,8
90,8,Zach Cunningham,LB - HOU,No,8
91,8,Jordan Hicks,LB - ARI,No,8
92,8,Jaylon Smith,LB - DAL,No,8
93,8,James Conner,RB - PIT,Yes,4
94,8,Phillip Lindsay,RB - DEN,No,8
95,8,Joey Bosa,DL - LAC,No,8
96,8,Roquan Smith,LB - CHI,No,8
97,9,George Kittle,TE - SF,Yes,4
98,9,Devin White,LB - TB,No,9
99,9,Jayon Brown,LB - TEN,No,9
100,9,Anthony Miller,WR - CHI,No,9
101,9,Tracy Walker,DB - DET,No,9
102,9,Evan Engram,TE - NYG,No,9
103,9,Devin Bush,LB - PIT,No,9
104,9,CeeDee Lamb,WR - DAL,No,9
105,9,Jamal Adams,DB - SEA,No,9
106,9,Leighton Vander Esch,LB - DAL,No,9
